"Date"," AQI Value","Main Pollutant","Site Name","Site ID","Source"
"08/28/2019","32","Ozone","WATER PLANT","17-031-7002","AQS"
"08/29/2019","48","PM2.5","LIBERTY SCHOOL","17-031-6005","AQS"
"08/30/2019","46","Ozone","WATER PLANT","17-031-7002","AQS"
"08/31/2019","40","PM2.5","VILLAGE GARAGE","17-031-0001","AQS"
"09/01/2019","55","PM2.5","COM ED MAINTENANCE BLDG","17-031-0076","AQS"
"09/02/2019","62","PM2.5","COM ED MAINTENANCE BLDG","17-031-0076","AQS"
"09/03/2019","52","PM2.5","LIBERTY SCHOOL","17-031-6005","AQS"
"09/04/2019","35","PM2.5","LIBERTY SCHOOL","17-031-6005","AQS"
"09/05/2019","42","PM2.5","LIBERTY SCHOOL","17-031-6005","AQS"
"09/06/2019","48","PM2.5","GRAVES ES","17-031-3301","AQS"
"09/07/2019","43","PM2.5","LIBERTY SCHOOL","17-031-6005","AQS"
"09/08/2019","37","PM2.5","LIBERTY SCHOOL","17-031-6005","AQS"
"09/09/2019","57","PM2.5","LIBERTY SCHOOL","17-031-6005","AQS"
"09/10/2019","61","PM2.5","LIBERTY SCHOOL","17-031-6005","AQS"
"09/11/2019","69","PM2.5","LIBERTY SCHOOL","17-031-6005","AQS"
"09/12/2019","53","PM2.5","VILLAGE GARAGE","17-031-0001","AQS"
"09/13/2019","44","PM2.5","COM ED MAINTENANCE BLDG","17-031-0076","AQS"
"09/14/2019","45","PM2.5","LIBERTY SCHOOL","17-031-6005","AQS"
"09/15/2019","52","PM2.5","LIBERTY SCHOOL","17-031-6005","AQS"
"09/16/2019","56","PM2.5","COM ED MAINTENANCE BLDG","17-031-0076","AQS"
"09/17/2019","61","PM2.5","COM ED MAINTENANCE BLDG","17-031-0076","AQS"
"09/18/2019","67","Ozone","TAFT HS","17-031-1003","AQS"
"09/19/2019","90","Ozone","VILLAGE GARAGE","17-031-0001","AQS"
"09/20/2019","93","Ozone","SOUTH WATER FILTRATION PLANT","17-031-0032","AQS"
"09/21/2019","60","PM2.5","LIBERTY SCHOOL","17-031-6005","AQS"
